職缺,公司名稱,地址,薪資,連結,工作內容,工作經驗,科系要求,擅長工具,其他條件
前端工程師,台灣幣蜂數位有限公司,台北市內湖區,"月薪50,000~65,000元",//www.104.com.tw/job/7npli?jobsource=jolist_c_relevance,"1.使用Javascript、jQuery、HTML、CSS、Vue設計網頁內容
2.跨平台裝置響應式(RWD)網站開發與維護
3.依需求轉化成功能，和美術討論規劃網頁樣式
4.與後端工程師合作，設計前端界面並串接 API
5.優化前端用戶體驗與頁面回應速度，保持良好的相容性
6.有聊天室開發經驗優先考慮

1. 版面規劃、套版、特效互動設計， 
2. 與UI/UX Designers及後端工程師協作開發Web系統介面 
3. 與後端工程師所開發的api進行ajax串接 
 

必備技能： 
- 熟悉HTML5 / CSS / JS / Ajax 
- 具備RWD (Responsive-Web-Design)、Mobile 網站開發能力 
- 具備瀏覽器相容性版面調整經驗（IE、FireFox、Chrome、Safari） 
- 熟悉 Git 版本控制 

加分條件： 
- 對學習新技術具有熱情 
- 優化前端體驗和頁面反應速度 
- 熟悉 ES5.6 / JSX / Bootstrap 
- 熟悉 MVC 架構 
- 熟悉 webpack module loader 
- 熟悉前端框架 Angular / Vue / React 其一 
- 熟悉 web socket ",專科,不拘,"['HTML', 'JavaScript', 'jQuery', 'CSS', 'VueJS']","1.熟悉 Html, CSS, JavaScript, Vue
2.熟悉 HTTP 相關知識
3.能使用Git
4.請附作品集

加分項目
1.了解Node.js, PHP"
【前端開發工程師】 Front-End Developer,智鈦星平台服務有限公司,台北市信義區,待遇面議,//www.104.com.tw/job/72exp?jobsource=jolist_c_relevance,"*負責App/Web前端開發、整合等。


《工作說明》：

1. PC及移動式前端之開發工作，包括常用PC、手機瀏覽器與APP內嵌頁面等。

2. 前端架構體系之規劃、設計與後續優化。

3. 與相關職能團隊討論開發前端組件，並加以應用、創新，以利維護及優化前端頁面呈現與效能。

4. 通訊軟體外掛小程式開發。

《期望技術》：

1. 能熟練使用VUE，React前端開發框架 (若不熟React較無法上手)。

2. 精通HTML5、CSS3、JavaScript、Nodejs、React native等前端開發技術。

3. 暸解伺服器端開發語言及熟悉與原生APP交互佳。",大學、碩士,不拘,[],"1. 3年以上前端開發經驗。
2. 重視用戶使用經驗細節與優化要點。
3. 溝通能力優秀，注重團隊合作。"
【PChome 網家集團】前端工程師,廿一世紀數位科技股份有限公司,台北市信義區,待遇面議,//www.104.com.tw/job/7edb8?jobsource=jolist_c_relevance,"我們正打造全新的購物及金融服務平台，除了基礎的電商功能，將整合公司專業之金融線上線下服務，提供全方位的購物及支付在線服務。你可以想像你將會參與一個類似 Amozon與 Paypal結合的全新平台，商業面應用我們已經證實可行並穩定經營，技術上的實作期待有理想願景的你加入與我們一同挑戰。

此職務主要負責前端網頁的開發及維護，由於開發的是一個全新的平台，你將可以擁有很高的開發自由度，與團隊一同研究技術方案以達成多變的業務挑戰。我們將一起開發一個主要的電商務平台以及多個具擴充性與穩定性的金流支付服務。我們的團隊秉持敏捷的開發態度，在多變的市場，運用開發團隊的技術創造更多的價值。

開發氛圍上，我們極度強調團隊合作及效率，減少任何不必要的報告及會議(Scrum meeting還是有的)，讓開發團隊能專注於產品開發。我們極度重視如何在上班時間內將產出最大化，反對惡性加班，如果你認同我們的理念，歡迎加入我們，一起建立一個高效能的開發團隊。

【工作內容】
• 電子商務購物網站平台網頁開發及維護。
• 支付服務平台開發。
• 其他內部系統開發。
• 解決在不同瀏覽器上產生的相容性問題。

【應徵條件】
• 熟悉 JavaScript、html、css及RWD。
• 熟悉 Ajax、jQuery、Bootstrap。
• 具有 Restful API 串接能力。
• 熟悉 Git 操作。
• 三年以上前端網頁開發經驗。",不拘,不拘,[],"【加分條件】
• 使用過其他前端框架 (Vue、React、Angular...等)。"
前端工程師,國風傳媒有限公司,台北市內湖區,待遇面議,//www.104.com.tw/job/7ntcu?jobsource=jolist_c_relevance,"工作內容：風傳媒集團網站/APP產品開發及優化
1. 與設計和後端工程師、PM合作開發網頁前端及套版
2. 優化前端元件

必要技能：
Javascript、jQuery、HTML、CSS
前端框架Angular、VUE、React有實作經驗 (Vue尤佳)。
熟悉基本 web 協定如 HTTP、REST、JSON 等。
具備串接與研發第三方API、SDK，閱讀文件能力。
熟悉 webpack、npm、nvm 前端開發流程。
具備RWD經驗。
具備處理跨平台網頁相容性 (Desktop, Mobile, APP WebView) 的經驗。
熟悉任一種 UI Framework (Boostrap、Tailwind等)。
熟悉瀏覽器 Devtool 及瀏覽器相容, 效能優化。
具有大型專案開發經驗者。
多人共同開發經驗。
熟悉 Git 版本控制。

加分條件：
熟悉 SEO，有實際操作經驗。
具備效能優化經驗。
熟悉UI/UX概念 ，建立友善的互動式界面。
具備 PHP laravel 基礎開發經驗。
",大學以上,不拘,[],"【加分條件】
• 使用過其他前端框架 (Vue、React、Angular...等)。"
前端工程師,先鋒機械股份有限公司,新北市土城區,"月薪45,000~60,000元",//www.104.com.tw/job/7c4ym?jobsource=jolist_c_relevance,"【工作職責 Job Responsibilities】
・負責產品頁面UI、互動、動態呈現之前端開發需求
・負責串接後端API
・新功能設計討論
・優化程式碼與 Web UI/UX
・修復和糾正錯誤

【職務要求必要項目 Job Requirement】
・任一 JavaScript Framework 1年以上的開發經驗，Angular / React
・良好的HTML5 / CSS / Javascript ES6 / 
・熟悉Sass或其他 CSS processor
・熟悉API 串接及非同步處理相關技術
・熟悉REST API
・了解Git版控流程(團隊目前使用Gitlab做CICD)
    
【加分項目 Nice to have】
・有任何後端經驗，如: Node.js
・具備 UI/UX 設計經驗及見解
・有製造業物聯網應用相關開發經驗
・曾參與並實作多個一定規模的產品/專案開發經驗
・具備撰寫自動化測試經驗
・有資訊視覺化經驗，包含d3.js, Echarts 或是相關library
・Typescript 撰寫基礎

【福利制度】
・供應午餐/加班晚餐
・年度員工健康檢查
・每年員工制服配給
・每年舉辦運動獎勵計劃，補助員工購置各式運動用品
・福委會每季舉辦廠內慶生與聚餐
・年度利潤固定比例提撥作為年終獎金分紅
・不定期舉辦國內外員工旅遊或旅遊津貼
・團隊添購開發相關工具書預算
・五一勞動節禮金、中秋節禮金、開工紅包
・免費員工機車停車位

【團隊與產品價值】
　　先鋒機械自2018起致力於智慧工廠應用平台(Pioneer SmartFA)應用開發，目前SmartFA客戶包含國內外知名電線電纜製造廠商，在台灣、西班牙、澳洲、新加坡、越南等地皆有先鋒機械SmartFA服務相關導入實績。
　　工業物聯網應用正在重新定義工業現場應用與生產製造的樣貌，先鋒研發團隊根據業主實際需求，運用不同的領域技術輔導客戶轉型。如機台大數據蒐集、AI影像處理與光學檢查、數位化生產管理流程、MES/ERP整合以及因應各種場景的資料可視化。
　　我們誠摯地邀請對於有興趣應用現代化網頁開發技術，翻轉傳統工廠製造管理模式的您加入團隊，歡迎投遞履歷跟我們聊聊。
　　更多的資訊請參考 http://www.pioneerm.com/tw/industry-4.0.html

",大學、碩士,資訊工程相關,"['Linux', 'HTML', 'JavaScript', 'Web Master/Developer', 'Node.js', 'ReactJS', 'AngularJS', 'VueJS']","【加分條件】
• 使用過其他前端框架 (Vue、React、Angular...等)。"
前端  工程師,睿莊科技股份有限公司,台北市中山區,"月薪60,000~80,000元",//www.104.com.tw/job/7kzkm?jobsource=jolist_c_relevance,"
能力需求
1. 能夠系統的組織與規劃重複使用的UI元件
2. 能夠與團隊進行良好的溝通, 善於合作
3. 重視UI的良好體驗，識別不周全的部分時也能提出討論


專業需求
1. 熟悉前端framework (Vue, Angular  React 任一即可)
2. 熟悉ES6語法, 了解 ESLint
3. 會使用css 預處理語言 (SASS/SCSS) RWD設計與各瀏覽器相容性
4. 了解 Restful API 串接
5. git基礎操作
6. 會使用Webpack 打包程式工具


加分技能
1. 網頁效能優化
2. DevOps 經驗 (Azure/AWS/GC)
3. OAuth 第三方登入實作的經驗",大學、碩士,不拘,[],"【加分條件】
• 使用過其他前端框架 (Vue、React、Angular...等)。"
前端工程師,逸志科技股份有限公司,台北市信義區,待遇面議,//www.104.com.tw/job/67k64?jobsource=jolist_b_relevance,"工作內容
# 與PM、設計師、後端工程師配合/溝通
# 依照 UI 需求開發架構、RWD網頁
# 與後端工程師討論/介接 API
# 使用 Vue.js(vue2)，對現有產品網站的維護 (優化網頁效能)

能力需求
# 熟悉HTML5 + CSS3 RWD網頁開發，使用 CSS Preprocessors (SASS/SCSS)
# 與後端工程師介接 API 合作經驗
# 熟悉使用 git 、基本開發流程
# 1年以上 Web 開發經驗

加分期望
# 熟練掌握 ES6、有前端框架開發經驗(Vue.js尤佳)
# 使用 Webpack 打包工具，有優化經驗
# 對後端環境有基本運作理解
# 有前端相關作品/ 合作開發經驗可參考
# 具備Typescript 開發經驗
",專科、大學、碩士,不拘,['JavaScript'],"【加分條件】
• 使用過其他前端框架 (Vue、React、Angular...等)。"
FE 前端程式設計師,欣創科技有限公司,台北市松山區,待遇面議,//www.104.com.tw/job/6mehw?jobsource=jolist_b_relevance,"1. 熟悉JavaScript、CSS、HTML、AJAX、JSON、XML、jQuery等 
2. 具有前端框架經驗(如：AngularJS、ReactJS、VueJS)尤佳  
3. 熟悉資料庫應用開發，例：Oracle、MS SQL Server等 
4. 對程式開發具有熱情，願意嘗試新技術
5. 良好的溝通與團隊合作開發",專科以上,不拘,"['AJAX', 'JavaScript', 'jQuery']","【加分條件】
• 使用過其他前端框架 (Vue、React、Angular...等)。"
React前端工程師,強司數位娛樂有限公司,台北市中山區,"月薪50,000~85,000元",//www.104.com.tw/job/7hmbt?jobsource=jolist_b_relevance,"2 年以上前端相關工作經驗
●熟悉 HTML5、CSS3、JavaScript (ES6+)
●熟悉 React + Redux 或是 Vue + Vuex
●熟悉 RESTful API 與 WebSocket 串接
●熟悉 node、express 及 npm
●熟悉 webpack 或 browserify
●對區塊鏈有高度熱忱，願意參與新技術的學習
●需與海外技術團隊進行技術溝通、製作進度會議  ",不拘,不拘,"['HTML', 'JavaScript', 'CSS']","●團隊溝通EQ高，表達能力強，面對壓力能從容處理
●對於Defi、Gamefi有相當程度的了解
●Typescript
●具React Native開發經驗
●具開發多人上線大型網站經驗
● 熟悉 Blockchain、Smart Contract、dApp、web3.js、Graphql"
前端工程師(可視訊面試),達格互動媒體有限公司,台北市士林區,待遇面議,//www.104.com.tw/job/4hci8?jobsource=jolist_b_relevance,"1. 2年以上網站前端(desktop & mobile web)開發經驗，及與後端開發人員合作經驗。
2. 熟悉HTML5，CSS3，jQuery，JAVASCRIPT，網頁切版。
3. 具備響應式設計經驗。
4. 熟悉跨平台的工具及經驗。
5. 熟悉各種瀏覽器。

加分條件: 
1. 前端優化經驗。
2. 具備SEO、SEM知識。
3. 有自己開發/設計作品。
4. 熟悉bootstrap，less(sass)使用。
5. 熟悉Photoshop、Illustrator。

PS.希望設計過十個網站以上之有經驗設計師。
投履歷時請附帶作品網址

達格網站(請用電腦看，手機看視覺感覺不同)
1.http://www.coolweb.com.tw
2.http://www.targets.com.tw",專科以上,不拘,[],"1. 持續不斷改善前端效能。
2. 對於新技術有學習熱情。
3. 有團隊開發精神。
4. 具備獨立開發與解決問題的能力。
5. 具備高執行力，設定時間目標後達成。"
